wavelength,cloudy_day,snow_and_sun,partly_cloudy_day
Date,09/01/2019,19/01/2017,01/10/2019
Time,12:00:00,12:00:00,12:00:00
Memo,A180 I00,A180 I00,A180 I00
Sensor,MS-711,MS-711,MS-711
Exposure Time(msec),200,100,100
Sensor Temp.(deg),24.4,24.4,25.2
Power(V),5.9,5.9,5.9
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um)
488.57,205.75,536.29,951.99
489,205.07,536.95,951.1
489.42,205.86,537.28,953.61
489.84,207.05,539.92,954.8
490.26,207.6,542.78,955.08
490.68,206.9,545.6,957.07
491.1,207.53,549.07,962.77
491.52,209.79,552.2,970.6
491.94,211.38,555.27,973.54
492.36,211.92,556.82,977.92
492.78,211.99,557.22,983.56
493.2,212.59,558.08,988.6
493.63,213.37,560.04,991.15
494.05,212.8,561.23,990.8
494.47,212.59,561.73,992.5
494.89,212.85,559.8,994.92
495.31,213.81,559.81,994.06
495.73,213.36,560.32,992.65
496.15,211.79,560.36,991.35
496.57,211.44,560.08,991.79
496.99,212.41,559.17,991.64
497.41,212.3,557.28,987.31
497.83,211.26,555.14,985.49
498.25,209.4,552.07,982.9
498.67,208.55,549.86,978.18
499.09,207.62,547.74,973.98
499.51,205.91,546.25,967.03
499.93,204.98,543.91,961.39
500.36,203.98,540.66,956.94
500.78,203.62,537.66,949.22
501.2,202.14,535.78,942.4
501.62,199.42,535.03,935.62
502.04,198.1,533.09,929.1
502.46,198.16,530.74,924.96
502.88,197.99,529.81,919.32
503.3,196.94,529.45,914.49
503.72,195.43,529.8,911.7
504.14,195.22,530.02,908.24
504.56,195.49,530.42,908.93
504.98,195.04,531.23,907.33
505.4,195.28,532.31,906.88
505.82,195.71,532.94,909.2
506.24,196.29,533.2,910.43
506.66,196.79,533.78,911.47
507.08,195.78,536.57,912.74
507.5,196.39,538.14,915.63
507.92,197.79,538.28,921.22
508.34,199.36,539.53,925.35
508.76,199.94,541.62,929.52
509.18,200.24,544.69,936.09
509.6,201.27,546.16,942.15
510.02,202.33,545.58,947.73
510.44,202.65,546.42,952.4
510.86,203.45,547.72,955.96
511.28,204.3,548.2,962.82
511.7,205.35,547.48,967.22
512.12,205.64,546.69,969.38
512.54,205.09,547.85,971.66
512.96,205.07,547.91,974.78
513.38,205.82,545.24,978.3
513.8,206.11,542.23,978.67
514.22,205.41,540.52,976.19
514.64,203.79,539.3,976.53
515.06,202.61,535.72,973.69
515.48,201.36,529.59,969.37
515.9,199.39,526.05,962.94
516.32,198.25,524.16,957.06
516.74,197.27,521.97,952.78
517.16,196.58,519.34,946.8
517.58,195.4,516.96,939.17
518,193.64,517.03,934.77
518.42,192.94,517.45,932.7
518.84,193.34,516.36,931.3
519.26,193.55,515.9,928.08
519.67,193.58,517.13,926.54
520.09,193.05,521.09,928.44
520.51,193.44,522.78,930.81
520.93,194.03,522.2,929.6
521.35,194.28,524.41,931.42
521.77,195.17,527.93,934.94
522.19,196.49,531.17,940.52
522.61,197.77,532.86,943.86
523.03,198.32,533.21,946.26
523.45,198.09,535.49,953.01
523.87,198.3,536.74,958.32
